Effective Altruism Funds,EA Infrastructure,GWWC Reported Donations,Regranting,"211,200.73","211,200.73"
EA Giving Group DAF,,GWWC Reported Donations,,"180,155.55","180,155.55"
Animal Equality,Animal Welfare,EA Funds (Grant Recipient),,"7,991,592.98","170,702.98"
Future of Life Institute,Long-Term Future,"80,000 Hours",Research,"1,894,057.94","158,057.94"
UNICEF (United Nations Children's Fund),Global Health and Development,GWWC Reported Donations,Program Delivery,"147,941.90","147,941.90"
Berkeley Existential Risk Initiative,Potential Risks from Advanced Artificial Intelligence,Open Philanthropy (Grant Recipient),,"1,647,862.00","138,972.00"
Save the Children,,GWWC Reported Donations,,"131,333.62","131,333.62"
Last Mile Health,,GWWC Reported Donations,,"129,882.94","129,882.94"
Effective Altruism Meta Fund,,GWWC Reported Donations,,"121,505.38","121,505.38"
Coalition for Rainforest Nations,Climate Change,Founders Pledge Recommendation,Program Delivery,"115,861.01","115,861.01"
Possible Health,,GWWC Reported Donations,,"109,110.66","109,110.66"
Partners in Health,,GWWC Reported Donations,,"105,392.19","105,392.19"
Students for High Impact Charity,,GWWC Reported Donations,,"93,941.69","93,941.69"
Future of Humanity Institute (Research Scholars Programme),Global Catastrophic Risks,Open Philanthropy (Grant Recipient),,"16,797,230.52","93,857.52"
ActionAid,,GWWC Reported Donations,,"84,751.26","84,751.26"
Wild Animal Initiative,Animal Welfare,EA Funds,Research,"623,289.91","98,289.91"
Effective Altruism Australia,,GWWC Reported Donations,,"80,117.52","80,117.52"
Practical Action,,GWWC Reported Donations,,"72,570.35","72,570.35"
Forethought Foundation,EA Infrastructure,EA Funds,Research,"1,169,618.14","1,105,618.14"
Caritas,,GWWC Reported Donations,,"68,854.15","68,854.15"
Intentional Insights,,GWWC Reported Donations,,"67,555.00","67,555.00"
Sinergia Animal,Animal Welfare,EA Funds (Grant Recipient),,"1,613,663.94","61,063.94"
Center for Applied Rationality,Other areas,EA Funds (Grant Recipient),,"3,996,493.82","58,472.82"
Global Health and Development Fund,Global Health and Development,EA Funds,Regranting,"2,660,134.85","2,660,134.85"
Evidence Action (No Lean Season),Global Health and Development,EA Funds,Program Delivery,"154,493.83","4,493.83"
Effective Altruism Infrastructure Fund,EA Infrastructure,EA Funds,Regranting,"1,711,912.90","1,711,912.90"
Long-Term Future Fund,Long-Term Future,EA Funds,Regranting,"1,241,857.51","1,241,857.51"
Animal Welfare Fund,Animal Welfare,EA Funds,Regranting,"1,133,202.40","1,133,202.40"
Evidence Action (Deworm the World Initiative),Global Health and Development,EA Funds,Program Delivery,"1,202,124.39","1,202,124.39"
GiveDirectly (Basic Income),,GWWC Reported Donations,,"58,301.14","58,301.14"
New Harvest,Animal Welfare,EA Funds (Grant Recipient),,"82,110.92","52,110.92"
Effective Altruism London,,GWWC Reported Donations,,"49,294.26","49,294.26"
350.org,,GWWC Reported Donations,,"48,760.13","48,760.13"
Vegan Outreach,,GWWC Reported Donations,,"48,081.41","48,081.41"
Effective Altruism Switzerland,,GWWC Reported Donations,,"47,192.98","47,192.98"
Let's Fund,EA Infrastructure,EA Funds (Grant Recipient),,"125,857.84","45,857.84"
Rethink Charity (Unrestricted funding),,GWWC Reported Donations,,"43,888.79","43,888.79"
Pratham,,GWWC Reported Donations,,"43,878.96","43,878.96"
Village Reach,,GWWC Reported Donations,,"41,582.89","41,582.89"
Fistula Foundation,,GWWC Reported Donations,,"40,042.19","40,042.19"
Amnesty International,Human Rights,GWWC Reported Donations,Program Delivery,"36,901.14","36,901.14"
Planned Parenthood,,GWWC Reported Donations,,"35,518.91","35,518.91"
Nyaya Health,,GWWC Reported Donations,,"33,815.00","33,815.00"
Rethink Charity (Unrestricted funding),EA Infrastructure,EA Funds,Community,"154,411.05","154,411.05"
Red Cross / Red Crescent,,GWWC Reported Donations,,"33,587.26","33,587.26"
Global Catastrophic Risk Institute,Long-Term Future,EA Funds,Research,"267,664.68","267,664.68"
Alliance To Feed The Earth In Disasters (ALLFED),Long-Term Future,EA Funds,Research,"120,701.64","120,701.64"
Donor Lottery,EA Infrastructure,EA Funds,Regranting,"234,225.69","234,225.69"
Fred Hollows Foundation,,GWWC Reported Donations,,"32,806.78","32,806.78"
EAF Fund,,GWWC Reported Donations,,"32,471.56","32,471.56"
International Rescue Committee,,GWWC Reported Donations,,"32,330.42","32,330.42"
Sabin Vaccine Institute,,GWWC Reported Donations,,"31,815.94","31,815.94"
Charity Entrepreneurship (Incubated Charities),,GWWC Reported Donations,,"29,703.17","29,703.17"
Sentience Politics,,GWWC Reported Donations,,"28,947.26","28,947.26"
Sentience Institute,Animal Welfare,EA Funds,Research,"50,443.47","50,443.47"
Effective Altruism Foundation (CH),,GWWC Reported Donations,,"25,004.72","25,004.72"
TrickleUp,,GWWC Reported Donations,,"23,850.00","23,850.00"
EA Animal Welfare Fund,,GWWC Reported Donations,,"22,603.38","22,603.38"
Academics Stand Against Poverty,,GWWC Reported Donations,,"22,530.06","22,530.06"
Kiva,,GWWC Reported Donations,,"21,615.12","21,615.12"
J-PAL (Support for Immunization Incentives RCTs),Global Health and Development,Open Philanthropy (Grant Recipient),,"221,552.93","21,552.93"
Charity Entrepreneurship (General Support),EA Infrastructure,EA Funds,Community,"60,272.82","60,272.82"
Friends of the Earth,,GWWC Reported Donations,,"20,927.68","20,927.68"
Incentives for Global Health,,GWWC Reported Donations,,"20,750.00","20,750.00"
charity: water,,GWWC Reported Donations,,"20,373.79","20,373.79"
Qualia Research Institute,,GWWC Reported Donations,,"20,056.43","20,056.43"
World Vision,,GWWC Reported Donations,,"19,693.58","19,693.58"
Westminster Presbyterian Church,,GWWC Reported Donations,,"19,515.00","19,515.00"
Raising for Effective Giving,,GWWC Reported Donations,,"19,388.74","19,388.74"
World Wildlife Fund (WWF),,GWWC Reported Donations,,"18,840.05","18,840.05"
International Refugee Assistance Project (Family Reunification),Immigration Policy,Open Philanthropy (Grant Recipient),,"1,793,580.00","18,580.00"
Clean Air Task Force,Climate Change,Founders Pledge Recommendation,Program Delivery,"18,473.84","18,473.84"
Global Priorities Project,,GWWC Reported Donations,,"18,131.04","18,131.04"
UNHCR (United Nations High Commissioner for Refugees),,GWWC Reported Donations,,"18,062.92","18,062.92"
RC Forward,EA Infrastructure,EA Funds (Grant Recipient),,"43,608.31","17,608.31"
SENS Research Foundation,,GWWC Reported Donations,,"17,558.36","17,558.36"
Containment of Artemisinin Resistance in Eastern Myanmar,Other areas,Open Philanthropy (Grant Recipient),,"1,017,544.57","17,544.57"
Hamlin Fistula Ethiopia,,GWWC Reported Donations,,"17,134.15","17,134.15"
COOL EARTH ACTION USA INC,,GWWC Reported Donations,,"17,064.98","17,064.98"
StrongMinds,Mental Health,Founders Pledge Recommendation,Program Delivery,"17,039.33","17,039.33"
Effective Altruism Outreach,,GWWC Reported Donations,,"15,888.75","15,888.75"
UN World Food Program,,GWWC Reported Donations,,"15,292.40","15,292.40"
EA Hotel,,GWWC Reported Donations,,"15,286.05","15,286.05"
SEVA,,GWWC Reported Donations,,"15,236.77","15,236.77"
One Step for Animals,,GWWC Reported Donations,,"15,114.34","15,114.34"
Worldwide Fistula Fund,,GWWC Reported Donations,,"15,097.17","15,097.17"
GlobalGiving,,GWWC Reported Donations,,"15,018.97","15,018.97"
Direct Action Everywhere,,GWWC Reported Donations,,"14,926.75","14,926.75"
Center for Human-Compatible Artificial Intelligence,,GWWC Reported Donations,,"14,000.00","14,000.00"
EA Norge,,GWWC Reported Donations,,"13,320.96","13,320.96"
Habitat For Humanity,,GWWC Reported Donations,,"13,099.10","13,099.10"
Centre for Effective Altruism (Community Building Grants),EA Infrastructure,EA Funds,Regranting,"220,596.50",596.50
WaterAid,,GWWC Reported Donations,,"13,067.60","13,067.60"
One Acre Fund,,GWWC Reported Donations,,"12,834.28","12,834.28"
ICIJ,,GWWC Reported Donations,,"12,775.43","12,775.43"
Ärzte ohne Grenzen,,GWWC Reported Donations,,"12,708.64","12,708.64"
Plan International,,GWWC Reported Donations,,"12,394.53","12,394.53"
Albert Schweitzer Foundation (ASF),Animal Welfare,Animal Charity Evaluators Top Charities,Program Delivery,"3,051,192.05","12,146.05"
Himalayan Cataract Project,,GWWC Reported Donations,,"12,136.25","12,136.25"
Stiftelsen Effekt,,GWWC Reported Donations,,"11,913.99","11,913.99"
Help Refugees,,GWWC Reported Donations,,"11,896.93","11,896.93"
AMF and SCI,,GWWC Reported Donations,,"11,746.31","11,746.31"
Greenpeace,,GWWC Reported Donations,,"11,379.61","11,379.61"
Encompass,Animal Welfare,EA Funds (Grant Recipient),,"356,352.06","11,352.06"
Hillary Clinton's Election Campaign,,GWWC Reported Donations,,"11,175.73","11,175.73"
Equal Justice Initiative,,GWWC Reported Donations,,"11,092.50","11,092.50"
local church,,GWWC Reported Donations,,"10,696.37","10,696.37"
Center on Long-Term Risk,Long-Term Future,EA Funds,Research,"64,615.30","64,615.30"
Wikimedia Foundation,,GWWC Reported Donations,,"10,687.79","10,687.79"
AI Safety Camp,Long-Term Future,EA Funds (Grant Recipient),,"105,529.82","10,529.82"
Sierra Club,,GWWC Reported Donations,,"10,425.82","10,425.82"
EA Fund Mix,,GWWC Reported Donations,,"10,331.50","10,331.50"
Living Goods,Global Health and Development,GiveWell Standout Charities,Program Delivery,"1,059,952.61","9,952.61"
Bronx freedom fund,,GWWC Reported Donations,,"9,500.00","9,500.00"
Animal Ethics,Animal Welfare,EA Funds (Grant Recipient),,"79,486.01","9,486.01"
SoGive,,GWWC Reported Donations,,"9,122.20","9,122.20"
RC Forward: Global Health Fund,,GWWC Reported Donations,,"9,064.39","9,064.39"
World land trust,,GWWC Reported Donations,,"8,971.95","8,971.95"
War on Want,,GWWC Reported Donations,,"8,878.55","8,878.55"
Conservation International,,GWWC Reported Donations,,"8,743.72","8,743.72"
Faunalytics,Animal Welfare,EA Funds (Grant Recipient),,"118,651.24","8,651.24"
Centrepoint,,GWWC Reported Donations,,"8,244.63","8,244.63"
Syrian Refugee Relief,,GWWC Reported Donations,,"7,995.95","7,995.95"
Reducetarian Foundation (Fish Consumption Messaging Research),Animal Welfare,Open Philanthropy (Grant Recipient),,"22,065.29","7,875.29"
CEA via Facebook on Giving Tuesday 2018 for allocation to the Long-Term Future Fund,,GWWC Reported Donations,,"7,844.00","7,844.00"
Better Eating International (Organizational Development),Animal Welfare,Open Philanthropy (Grant Recipient),,"87,568.38","7,768.38"
Dublin Simon Community,,GWWC Reported Donations,,"7,725.73","7,725.73"
One for the World,Global Health and Development,EA Funds (Grant Recipient),,"531,360.00","7,610.00"
Longevity Research Institute,,GWWC Reported Donations,,"7,500.00","7,500.00"
LDS Charities,,GWWC Reported Donations,,"7,353.99","7,353.99"
DoeBem,,GWWC Reported Donations,,"7,246.49","7,246.49"
Effective Altruism Norway,EA Infrastructure,EA Funds,Community,"32,534.51","32,534.51"
END Fund (Deworming Program),Global Health and Development,EA Funds,Program Delivery,"6,596.57","6,596.57"
Avaaz,,GWWC Reported Donations,,"7,222.50","7,222.50"
Citizens' Climate Lobby / Citizens' Climate Education,,GWWC Reported Donations,,"7,094.44","7,094.44"
Charities Aid Foundation,,GWWC Reported Donations,,"7,012.33","7,012.33"
Effective Altruism Global,,GWWC Reported Donations,,"6,965.79","6,965.79"
Effectief Altruisme Nederland,,GWWC Reported Donations,,"6,954.84","6,954.84"
Christians Against Poverty,,GWWC Reported Donations,,"6,888.71","6,888.71"
church,,GWWC Reported Donations,,"6,828.47","6,828.47"
Trussell Trust,,GWWC Reported Donations,,"6,809.58","6,809.58"
Animals Australia,,GWWC Reported Donations,,"6,643.51","6,643.51"
Heifer International,,GWWC Reported Donations,,"6,615.00","6,615.00"
Tides Foundation,,GWWC Reported Donations,,"6,508.42","6,508.42"
L214,,GWWC Reported Donations,,"6,340.22","6,340.22"
Stop TB Partnership,,GWWC Reported Donations,,"6,246.33","6,246.33"
The Center for Election Science,Other areas,Open Philanthropy (Grant Recipient),,"2,434,600.58","6,000.58"
Global Network,,GWWC Reported Donations,,"5,924.58","5,924.58"
SolarAid,,GWWC Reported Donations,,"5,847.96","5,847.96"
American Civil Liberties Union (ACLU),,GWWC Reported Donations,,"5,775.00","5,775.00"
Compassion,,GWWC Reported Donations,,"5,772.93","5,772.93"
Electronic Frontier Foundation (Artificial Intelligence Scenarios and Social Impacts),Potential Risks from Advanced Artificial Intelligence,Open Philanthropy (Grant Recipient),,"204,767.81","5,767.81"
Action Against Hunger,,GWWC Reported Donations,,"5,724.53","5,724.53"
UES - Gemeinnützige Unternehmergesellschaft (haftungsbeschränkt) für effektives Spenden,,GWWC Reported Donations,,"5,675.12","5,675.12"
UNRWA,,GWWC Reported Donations,,"5,628.29","5,628.29"
Southern Poverty Law Center,,GWWC Reported Donations,,"5,610.00","5,610.00"
Disasters Emergency Committee,,GWWC Reported Donations,,"5,536.79","5,536.79"
Utility Farm,Animal Welfare,EA Funds (Grant Recipient),,"65,500.00","5,500.00"
Road to AI Safety Excellence,,GWWC Reported Donations,,"5,468.83","5,468.83"
International Council for the Control of Iodine Deficiency Disorders,,GWWC Reported Donations,,"5,403.13","5,403.13"
Watsi,,GWWC Reported Donations,,"5,283.00","5,283.00"
CRU,,GWWC Reported Donations,,"5,220.00","5,220.00"
Anima International,Animal Welfare,Animal Charity Evaluators Top Charities,Program Delivery,"1,745,200.10","5,200.10"
FOCUS,,GWWC Reported Donations,,"5,133.38","5,133.38"
Charities with personal ties,,GWWC Reported Donations,,"4,815.00","4,815.00"
Camfed,,GWWC Reported Donations,,"4,750.39","4,750.39"
CEA animal altruism fund,,GWWC Reported Donations,,"4,716.26","4,716.26"
ClientEarth,,GWWC Reported Donations,,"4,534.14","4,534.14"
Beyond Carnism,,GWWC Reported Donations,,"4,500.00","4,500.00"
Green Party,,GWWC Reported Donations,,"4,480.82","4,480.82"
Tearfund,,GWWC Reported Donations,,"4,479.99","4,479.99"
Mind,,GWWC Reported Donations,,"4,415.41","4,415.41"
Local,,GWWC Reported Donations,,"4,363.18","4,363.18"
RC Forward: Human Empowerment Fund,,GWWC Reported Donations,,"4,254.48","4,254.48"
Global Alliance for Improved Nutrition (Universal Salt Iodization),Global Health and Development,Open Philanthropy (Grant Recipient),,"1,054,252.72","4,252.72"
Effective Altruism Funds through Generosity,,GWWC Reported Donations,,"4,109.14","4,109.14"
Children International,,GWWC Reported Donations,,"4,038.00","4,038.00"
Marie Stopes International,,GWWC Reported Donations,,"4,028.70","4,028.70"
Environmental Data and Governance Initiative,,GWWC Reported Donations,,"4,000.00","4,000.00"
American Cancer Society,,GWWC Reported Donations,,"3,998.78","3,998.78"
Zentrum für politische Schönheit,,GWWC Reported Donations,,"3,922.68","3,922.68"
Ploughshares Fund,Long-Term Future,EA Funds,Regranting,"3,873.00","3,873.00"
Unbound,,GWWC Reported Donations,,"3,720.00","3,720.00"
atmosfair,,GWWC Reported Donations,,"3,655.96","3,655.96"
Direct to Homeless,,GWWC Reported Donations,,"3,508.66","3,508.66"
Cancer Research UK,,GWWC Reported Donations,,"3,447.05","3,447.05"
Nurse-Family Partnership,,GWWC Reported Donations,,"3,445.93","3,445.93"
SOS,,GWWC Reported Donations,,"3,442.46","3,442.46"
RSPCA,,GWWC Reported Donations,,"3,355.23","3,355.23"
DonorsChoose.org,,GWWC Reported Donations,,"3,353.47","3,353.47"
CARE,,GWWC Reported Donations,,"3,343.33","3,343.33"
Population Services International (PSI),,GWWC Reported Donations,,"3,341.45","3,341.45"
Cellular Agriculture Society,Animal Welfare,EA Funds (Grant Recipient),,"53,333.34","3,333.34"
Political Campaign,,GWWC Reported Donations,,"3,324.41","3,324.41"
No Means No Worldwide,Women's Empowerment,Founders Pledge Recommendation,Program Delivery,"3,247.71","3,247.71"
Gates Foundation,,GWWC Reported Donations,,"3,233.01","3,233.01"
Democratic National Committee,,GWWC Reported Donations,,"3,177.00","3,177.00"
Kika,,GWWC Reported Donations,,"3,038.23","3,038.23"
Het Nederlandse Rode Kruis,,GWWC Reported Donations,,"2,991.76","2,991.76"
Union of Concerned Scientists,,GWWC Reported Donations,,"2,980.00","2,980.00"
Islamic Relief,,GWWC Reported Donations,,"2,969.94","2,969.94"
The Bail Project,,GWWC Reported Donations,,"2,953.75","2,953.75"
Direct Relief,,GWWC Reported Donations,,"2,910.07","2,910.07"
Salvation Army,,GWWC Reported Donations,,"2,904.94","2,904.94"
Women for Women International,,GWWC Reported Donations,,"2,895.49","2,895.49"
National Resources Defense Council,,GWWC Reported Donations,,"2,870.00","2,870.00"
Raices,,GWWC Reported Donations,,"2,839.83","2,839.83"
St Mungo's,,GWWC Reported Donations,,"2,816.41","2,816.41"
FairVote,,GWWC Reported Donations,,"2,794.00","2,794.00"
END Fund (Deworming Program),,GWWC Reported Donations,,"2,785.65","2,785.65"
Village Enterprise,Women's Empowerment,Founders Pledge Recommendation,Program Delivery,"2,732.06","2,732.06"
Bernie Sanders campaign,,GWWC Reported Donations,,"2,727.50","2,727.50"
Center for Biological Diversity,,GWWC Reported Donations,,"2,700.00","2,700.00"
GiveIndia,,GWWC Reported Donations,,"2,691.58","2,691.58"
Tostan,,GWWC Reported Donations,,"2,675.34","2,675.34"
Compassion in World Farming (Fish Welfare and Efforts to End Cages),Animal Welfare,Open Philanthropy (Grant Recipient),,"6,866,072.92","2,668.92"
The Hunger Project,,GWWC Reported Donations,,"2,658.59","2,658.59"
ActBlue,,GWWC Reported Donations,,"2,626.00","2,626.00"
Kiva Loans,,GWWC Reported Donations,,"2,624.09","2,624.09"
Crisis,,GWWC Reported Donations,,"2,464.85","2,464.85"
gieffektivt.no,EA Infrastructure,EA Funds (Grant Recipient),,"32,446.47","2,446.47"
Restos du coeur,,GWWC Reported Donations,,"2,440.01","2,440.01"
Australian Conservation Foundation,,GWWC Reported Donations,,"2,403.15","2,403.15"
National Association for the Advancement of Colored People,,GWWC Reported Donations,,"2,391.47","2,391.47"
RC Forward: Animal Welfare Fund,,GWWC Reported Donations,,"2,382.77","2,382.77"
Pump Aid,,GWWC Reported Donations,,"2,379.16","2,379.16"
Shelter,,GWWC Reported Donations,,"2,356.78","2,356.78"
Wilderness Society,,GWWC Reported Donations,,"2,350.72","2,350.72"
Information Technology and Innovation Foundation - Effective Climate Policy,,GWWC Reported Donations,,"2,346.64","2,346.64"
Instituto C (Associação Saúde Criança São Paulo),,GWWC Reported Donations,,"2,323.55","2,323.55"
NAACP Legal Defense & Educational Fund,,GWWC Reported Donations,,"2,320.70","2,320.70"
Green Party of Canada,,GWWC Reported Donations,,"2,289.96","2,289.96"
Health and Clean Water,,GWWC Reported Donations,,"2,246.90","2,246.90"
YIMBY Action,,GWWC Reported Donations,,"2,183.00","2,183.00"
Artsen Zonder Grenzen (Doctors Without Borders),,GWWC Reported Donations,,"2,168.53","2,168.53"
United Way,,GWWC Reported Donations,,"2,165.89","2,165.89"
American Red Cross,,GWWC Reported Donations,,"2,158.00","2,158.00"
Rape Abuse and Incest National Network (RAINN),,GWWC Reported Donations,,"2,150.00","2,150.00"
EA  Netherlands (in support of Remmelt Ellen),,GWWC Reported Donations,,"2,096.48","2,096.48"
National Public Radio,,GWWC Reported Donations,,"2,090.00","2,090.00"
Mary's Meals,,GWWC Reported Donations,,"2,083.54","2,083.54"
Democracy Now!,,GWWC Reported Donations,,"2,020.00","2,020.00"
Vote.org,,GWWC Reported Donations,,"2,017.30","2,017.30"
Effektiv spenden,,GWWC Reported Donations,,"1,983.12","1,983.12"
Crowdfunding,,GWWC Reported Donations,,"1,957.17","1,957.17"
Bernie Sanders - ActBlue,,GWWC Reported Donations,,"1,950.00","1,950.00"
Compassion International,,GWWC Reported Donations,,"1,908.00","1,908.00"
Natural Resources Defense Council,,GWWC Reported Donations,,"1,906.88","1,906.88"
ACNUR,,GWWC Reported Donations,,"1,901.27","1,901.27"
London Wildlife Trust,,GWWC Reported Donations,,"1,865.42","1,865.42"
National Theatre London,,GWWC Reported Donations,,"1,862.85","1,862.85"
Rainforest Trust,,GWWC Reported Donations,,"1,847.90","1,847.90"
Life Comes From It,,GWWC Reported Donations,,"1,800.00","1,800.00"
United Nations World Food Programme,,GWWC Reported Donations,,"1,798.09","1,798.09"
EACH,,GWWC Reported Donations,,"1,795.09","1,795.09"
White Helmets,,GWWC Reported Donations,,"1,788.71","1,788.71"
Trees for All,,GWWC Reported Donations,,"1,768.38","1,768.38"
MIRI,,GWWC Reported Donations,,"1,765.74","1,765.74"
Effective Thesis,EA Infrastructure,EA Funds (Grant Recipient),,"31,753.20","1,753.20"
Macmillan Cancer Support,,GWWC Reported Donations,,"1,734.42","1,734.42"
Quilliam Foundation,,GWWC Reported Donations,,"1,697.53","1,697.53"
CATF - Clean Air Task Force,,GWWC Reported Donations,,"1,665.51","1,665.51"
Crisis at Christmas,,GWWC Reported Donations,,"1,632.63","1,632.63"
Global Witness,,GWWC Reported Donations,,"1,626.29","1,626.29"
Feeding America,,GWWC Reported Donations,,"1,611.00","1,611.00"
The Greater Boston Food Bank,,GWWC Reported Donations,,"1,601.75","1,601.75"
UNO Flüchtlingshilfe,,GWWC Reported Donations,,"1,585.07","1,585.07"
Big Issue,,GWWC Reported Donations,,"1,570.49","1,570.49"
Food Fortification Initiative (FFI),Global Health and Development,GiveWell Standout Charities,Program Delivery,"551,523.50","1,523.50"
Elizabeth Warren (President 2020),,GWWC Reported Donations,,"1,520.00","1,520.00"
Center for Global Development (COVID-19 Net Health Impact Calculations),Global Health and Development,Open Philanthropy (Grant Recipient),,"12,194,612.55","1,512.55"
The Ocean Cleanup,,GWWC Reported Donations,,"1,504.93","1,504.93"
Refugee Community Kitchen,,GWWC Reported Donations,,"1,486.82","1,486.82"
Refugee Action,,GWWC Reported Donations,,"1,480.60","1,480.60"
Earthjustice,,GWWC Reported Donations,,"1,480.00","1,480.00"
Effektiv Altruisme NTNU,,GWWC Reported Donations,,"1,471.50","1,471.50"
Camden Roundhouse,,GWWC Reported Donations,,"1,461.50","1,461.50"
CAAT,,GWWC Reported Donations,,"1,447.82","1,447.82"
Leger Uten Grenser,,GWWC Reported Donations,,"1,442.39","1,442.39"
National MS Society,,GWWC Reported Donations,,"1,438.44","1,438.44"
GetUp!,,GWWC Reported Donations,,"1,434.27","1,434.27"
Asylum seeker resource centre,,GWWC Reported Donations,,"1,433.62","1,433.62"
Open Cages,,GWWC Reported Donations,,"1,432.10","1,432.10"
RAINN,,GWWC Reported Donations,,"1,400.00","1,400.00"
Forward Majority Action PAC,,GWWC Reported Donations,,"1,400.00","1,400.00"
Trine,,GWWC Reported Donations,,"1,364.73","1,364.73"
eight.world,,GWWC Reported Donations,,"1,360.27","1,360.27"
Foundational Research Institute,,GWWC Reported Donations,,"1,357.51","1,357.51"
BRAC,,GWWC Reported Donations,,"1,355.25","1,355.25"
Christian Aid,,GWWC Reported Donations,,"1,351.26","1,351.26"
Lend With Care,,GWWC Reported Donations,,"1,337.31","1,337.31"
TeamTrees,,GWWC Reported Donations,,"1,330.83","1,330.83"
Houston Food Bank,,GWWC Reported Donations,,"1,325.00","1,325.00"
Sustrans,,GWWC Reported Donations,,"1,268.21","1,268.21"
ProPublica,,GWWC Reported Donations,,"1,257.15","1,257.15"
National Immigration Law Center,,GWWC Reported Donations,,"1,240.00","1,240.00"
GoFundMe,,GWWC Reported Donations,,"1,234.75","1,234.75"
Justgiving,,GWWC Reported Donations,,"1,212.20","1,212.20"
Pay It Forward,,GWWC Reported Donations,,"1,210.70","1,210.70"
Danish Vegetarian Society,,GWWC Reported Donations,,"1,210.07","1,210.07"
BUND e.V.,,GWWC Reported Donations,,"1,201.37","1,201.37"
Milaap.org,,GWWC Reported Donations,,"1,199.21","1,199.21"
Veganuary,,GWWC Reported Donations,,"1,197.87","1,197.87"
St. Jude,,GWWC Reported Donations,,"1,192.00","1,192.00"
Focus Ireland,,GWWC Reported Donations,,"1,176.10","1,176.10"
